GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "00000","United States", ,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)","Millions of chained 2012 dollars",11521938.0,12038283.0,12610491.0,13130987.0,13262079.0,13493064.0,13879129.0,14406382.0,14912509.0,15338257.0,15626029.0,15604687.0,15208834.0,15598753.0,15840664.0,16197007.0,16495369.0,16912038.0,17403843.0,17688890.0,18108082.0,18638164.0,19073056.0
 "00000","United States", ,SAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",71.136,74.324,77.857,81.070,81.880,83.306,85.689,88.945,92.070,94.698,96.475,96.343,93.899,96.306,97.800,100.000,101.842,104.415,107.451,109.211,111.799,115.072,117.757
 "00000","United States", ,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",8577552.0,9062817.0,9630663.0,10252347.0,10581822.0,10936418.0,11458246.0,12213730.0,13036637.0,13814609.0,14451860.0,14712845.0,14448932.0,14992052.0,15542582.0,16197007.0,16784851.0,17527258.0,18224780.0,18715040.0,19519424.0,20580223.0,21427690.0
 "00000","United States", ,SAGDP1,4,"...","Compensation (millions of dollars)","Millions of current dollars",4713220.0,5075701.0,5409932.0,5854629.0,6046343.0,6143368.0,6362296.0,6729301.0,7077721.0,7491255.0,7889369.0,8068679.0,7767191.0,7932969.0,8234013.0,8575371.0,8843638.0,9259655.0,9709234.0,9972728.0,10424471.0,(NA),(NA)
 "00000","United States", ,SAGDP1,5,"...","Gross operating surplus (millions of dollars)","Millions of current dollars",3286530.6,3384012.0,3592352.2,3734995.5,3866495.8,4074413.8,4339386.5,4662712.2,5077391.0,5377778.3,5580241.5,5646978.1,5713269.9,6051816.8,6264848.0,6543558.1,6812271.5,7084859.0,7295692.0,7491363.0,7791624.0,(NA),(NA)
 "00000","United States", ,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars)","Millions of current dollars",577806.0,603105.0,628376.0,662716.0,668980.0,718634.0,756559.0,821712.0,881527.0,945573.0,982245.0,997183.0,968471.0,1007266.0,1043716.0,1078078.0,1128943.0,1182744.0,1219854.0,1250949.0,1303329.0,(NA),(NA)
 "00000","United States", ,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars)","Millions of current dollars",611613.8,639472.1,673584.0,708555.4,727689.6,760031.2,805617.0,868097.4,942437.3,997040.1,1036830.5,1049740.5,1026819.2,1063074.0,1103723.9,1136115.2,1188661.0,1240829.0,1277105.0,1312759.0,1364467.0,(NA),(NA)
 "00000","United States", ,SAGDP1,8,"..."," Subsidies (millions of dollars)","Millions of current dollars",-33809.8,-36368.0,-45209.0,-45840.0,-58710.0,-41396.1,-49057.1,-46386.3,-60910.6,-51467.3,-54584.2,-52556.6,-58347.5,-55808.2,-60007.7,-58037.3,-59720.3,-58090.0,-57252.0,-61807.0,-61135.0,(NA),(NA)
 "01000","Alabama",5,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)","Millions of chained 2012 dollars",143646.1,148596.4,154093.6,156559.9,156403.9,160870.1,164991.9,175508.4,181385.9,184796.4,185868.8,185297.9,178021.4,182262.7,185054.8,186299.0,188165.1,186849.0,189339.1,190703.0,193023.9,198435.9,202940.3
 "01000","Alabama",5,SAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.105,79.762,82.713,84.037,83.953,86.351,88.563,94.208,97.363,99.193,99.769,99.463,95.557,97.833,99.332,100.000,101.002,100.295,101.632,102.364,103.610,106.515,108.933
